num_demande;heure_depart;coord_origin_x coord_origin_y;coord_dest_x coord_dest_y
9359;07:00:46;843231.2186 6523050.675;841698.9204 6522002.471
9360;07:00:46;847405.1424 6522371.882;841823.9241 6522108.665
9361;07:00:46;848686.5822 6519991.76;842414.7893 6519655.254
9362;07:00:46;838671.3292 6516104.612;844086.2491 6518559.91
9363;07:00:47;843941.3852 6520566.797;845775.3136 6520793.564
9364;07:00:47;845232.8972 6519900.207;841746.0389 6516326.237
9365;07:00:47;842258.7897 6520448.084;842768.9541 6520200.955
9366;07:00:48;842538.3832 6512317.894;841408.9075 6516542.936
9367;07:00:48;837992.2995 6517658.086;837603.1631 6518446.139
9368;07:00:48;844288.9585 6514512.87;843277.21 6520546.583
9369;07:00:48;845915.0395 6519559.762;846184.3778 6522412.747
9370;07:00:48;845263.2304 6517294.499;844271.8425 6514581.23
9371;07:00:49;846667.4114 6519807.98;848626.1678 6519918.092
9372;07:00:49;843510.9093 6517965.699;843462.0175 6519474.674
9373;07:00:49;844059.8304 6518596.153;844783.8386 6519852.411
9374;07:00:50;838394.8643 6519750.834;843726.8802 6518108.493
9375;07:00:50;845743.6907 6516356.996;848058.5022 6516827.363
9376;07:00:50;838297.0179 6519808.649;839568.2371 6519812.588
9377;07:00:50;847753.1574 6519106.096;848410.0004 6518585.079
9378;07:00:51;848686.5822 6519991.76;845548.4936 6521179.519
9379;07:00:51;838513.4753 6517274.383;839965.4946 6520244.269
9380;07:00:51;846136.8137 6520104.022;844271.8425 6514581.23
9381;07:00:51;847894.2626 6516121.358;845352.8657 6521759.172
9382;07:00:51;837520.5794 6518364.542;839259.1931 6517624.494
9383;07:00:52;841519.8746 6522279.587;843403.4044 6519509.908
9384;07:00:52;842009.5627 6522380.372;842379.588 6521770.992
9385;07:00:52;840212.7971 6520818.644;841933.8067 6518499.98
9386;07:00:52;842908.1834 6517110.233;848058.5022 6516827.363
9387;07:00:52;846136.8137 6520104.022;847328.5511 6517734.321
9388;07:00:52;847938.312 6516101.313;843284.3248 6519215.261
9389;07:00:52;838927.4582 6519419.798;843069.08 6518203.095
9390;07:00:53;847784.2431 6519106.844;848410.0004 6518585.079
9391;07:00:53;843816.3039 6520320.199;845511.1049 6518856.007
9392;07:00:53;845988.2228 6521156.644;845608.0111 6518638.263
9393;07:00:54;847938.312 6516101.313;844271.8425 6514581.23
9394;07:00:54;843231.2186 6523050.675;842101.3243 6518653.815
9395;07:00:54;838297.0179 6519808.649;840344.7664 6515248.781
9396;07:00:54;838494.7422 6521231.894;838560.0533 6520256.856
