ID;DEPARTURE;ORIGIN;DESTINATION
231;00:02:01;E_82607718;S_82612072
232;00:02:04;E_762997770_T_549690255_toRef;S_82611865
233;00:02:04;E_82607707_T_58231974_FRef;S_1073547799
234;00:02:04;E_881234027;S_82607369_T_549690291_toRef
235;00:02:05;E_876550037;S_543466840_T_58307472_FRef
236;00:02:06;E_82607284;S_1070389113_T_1085062159_toRef
237;00:02:07;E_545413229_T_61615192_toRef;S_82607700
238;00:02:07;E_762997770_T_549690255_toRef;S_800028683_T_704007186_FRef
239;00:02:07;R_82611805;S_826832662
240;00:02:08;E_82607284;S_800028683_T_704007186_FRef
241;00:02:09;E_82607727;S_1035659569
242;00:02:09;E_876550037;S_826832662
243;00:02:10;E_82607284;S_800028683_T_704007186_FRef
244;00:02:10;E_82607718;S_01
245;00:02:12;E_545413229_T_61615192_toRef;S_543466840_T_58307472_FRef
246;00:02:12;E_82607284;S_82607700
247;00:02:13;E_82607718;S_762997770_T_549690255_FRef
248;00:02:13;E_881234027;S_826832662
249;00:02:13;C_82643181;R_82611815
250;00:02:14;E_545413229_T_61615192_toRef;S_1035659569
251;00:02:15;E_01;S_82611857_T_62946995_toRef
252;00:02:15;E_82607284;S_82607369_T_549690291_toRef
253;00:02:15;E_82611857_T_62946995_FRef;S_800028683_T_704007186_FRef
254;00:02:15;E_826832663;S_82607798
255;00:02:16;E_01;S_82612072
256;00:02:17;E_1073571631;S_1073547799
257;00:02:18;E_82607284;S_82607700
258;00:02:18;E_876550037;S_82612072
259;00:02:19;E_1073571631;S_1073547799
260;00:02:19;E_545413229_T_61615192_toRef;S_1070389113_T_1085062159_toRef
261;00:02:21;E_1073571631;S_545413229_T_61615192_FRef
262;00:02:21;E_545413229_T_61615192_toRef;S_82611819
263;00:02:21;E_881234027;S_82612072
264;00:02:22;E_82607718;S_82607707_T_58231974_toRef
265;00:02:22;R_82643094;R_82611806
266;00:02:22;R_82611806;S_826832662
267;00:02:23;E_881234027;S_826832662
268;00:02:25;C_82607783;S_82607798
269;00:02:27;E_1070389113_T_1085062159_FRef;S_82607700
270;00:02:27;E_876550037;S_82612072
271;00:02:27;R_82643122;R_82611805
272;00:02:28;E_82607718;S_82612072
273;00:02:28;E_881234027;S_82607707_T_58231974_toRef
274;00:02:29;E_762997770_T_549690255_toRef;S_545413229_T_61615192_FRef
275;00:02:30;E_01;S_01
276;00:02:30;E_545413229_T_61615192_toRef;S_545413229_T_61615192_FRef
277;00:02:30;E_881234027;S_82607369_T_549690291_toRef
278;00:02:31;E_01;S_543466840_T_58307472_FRef
279;00:02:31;E_762997770_T_549690255_toRef;S_82611857_T_62946995_toRef
280;00:02:31;E_82607718;S_82607369_T_549690291_toRef
281;00:02:31;C_82611902;S_82607700
282;00:02:32;E_545413229_T_61615192_toRef;S_1035659569
283;00:02:32;E_881234027;S_82611865
284;00:02:33;E_01;S_82611857_T_62946995_toRef
285;00:02:34;E_1067024224;S_82611819
286;00:02:34;E_876550037;S_82607720
287;00:02:34;E_881234027;S_800028683_T_704007186_FRef
288;00:02:35;E_1073571631;S_82607700
289;00:02:35;E_762997770_T_549690255_toRef;S_82607720
290;00:02:35;R_82611806;S_826832662
291;00:02:36;E_01;S_82611857_T_62946995_toRef
292;00:02:36;E_545413229_T_61615192_toRef;S_545413229_T_61615192_FRef
293;00:02:36;E_82607284;S_82611819
294;00:02:37;E_1070389113_T_1085062159_FRef;S_545413229_T_61615192_FRef
295;00:02:38;R_82612061;S_01
296;00:02:39;E_01;S_82607369_T_549690291_toRef
297;00:02:39;E_1067024224;S_82607798
298;00:02:39;E_82607284;S_82607700
299;00:02:39;R_82647120;S_82607700
300;00:02:42;E_881234027;S_1073547799
301;00:02:43;E_545413229_T_61615192_toRef;S_762997770_T_549690255_FRef
302;00:02:43;E_82607284;S_82607798
303;00:02:43;E_82607727;S_82607720
304;00:02:44;E_545413229_T_61615192_toRef;S_545413229_T_61615192_FRef
305;00:02:44;E_881234027;S_762997770_T_549690255_FRef
306;00:02:45;E_01;S_543466840_T_58307472_FRef
307;00:02:45;C_545420584;S_545413229_T_61615192_FRef
308;00:02:46;E_1073571631;S_82611819
309;00:02:46;E_82607284;S_1035659569
310;00:02:46;E_881234027;S_1073547799
311;00:02:48;R_82611866;S_545413229_T_61615192_FRef
312;00:02:49;E_01;S_1073547799
313;00:02:49;E_545413229_T_61615192_toRef;S_82607798
314;00:02:50;E_01;S_82611865
315;00:02:50;E_876550037;S_545413229_T_61615192_FRef
316;00:02:51;E_545413229_T_61615192_toRef;S_1035659569
317;00:02:52;E_82611957;S_82607369_T_549690291_toRef
318;00:02:52;R_82612082;S_82607720
319;00:02:53;E_01;S_82607369_T_549690291_toRef
320;00:02:53;E_876550037;S_1035659569
321;00:02:54;C_82607928;S_82607369_T_549690291_toRef
322;00:02:55;E_545413229_T_61615192_toRef;S_82607798
323;00:02:55;E_762997770_T_549690255_toRef;S_82612072
324;00:02:55;E_876550037;S_82611857_T_62946995_toRef
325;00:02:56;E_881234027;S_82611857_T_62946995_toRef
326;00:02:57;E_545413229_T_61615192_toRef;S_01
327;00:02:57;R_82611893;S_826832662
328;00:02:59;E_545413229_T_61615192_toRef;S_82611865
329;00:03:00;E_82611835;S_1070389113_T_1085062159_toRef
