ID;DEPARTURE;ORIGIN;DESTINATION
1613;06:44:16;845349.395 6523142.706;843182.1181 6520224.074
1614;06:44:16;844308.2154 6520276.08;846053.5406 6519620.82
1627;06:44:23;845229.1123 6521800.046;843632.6492 6522026.189
1631;06:44:24;845428.6238 6520760.119;846385.86 6521497.145
1634;06:44:25;844320.8897 6520126.954;846596.5997 6521980.943
1636;06:44:25;845518.8266 6520627.849;847560.6093 6519261.94
1637;06:44:26;844777.4214 6520849.133;843216.1303 6519766.103
1639;06:44:29;843114.2773 6519897.278;844592.6038 6522258.843
1649;06:44:37;843906.675 6519918.367;844926.8222 6521135.742
1651;06:44:38;843491.806 6519746.995;845556.9844 6521550.313
1655;06:44:39;846874.1398 6519542.655;845923.7177 6520007.534
1656;06:44:40;846705.1118 6519782.993;845707.5615 6520969.243
1658;06:44:42;844808.9607 6520697.089;845837.5391 6520792.042
1660;06:44:44;844400.6911 6519910.494;843492.4164 6521216.613
1661;06:44:44;845319.4249 6520217.673;845169.9191 6519642.55
1665;06:44:46;844374.4803 6519764.297;843489.1605 6519905.643
1669;06:44:47;846697.1667 6519139.635;848332.5766 6519746.001
1679;06:44:52;845239.3324 6519473.741;846994.2527 6519125.083
1680;06:44:53;843748.7231 6520835.971;844787.6795 6520669.581
1689;06:44:56;844730.1072 6519850.852;843363.0719 6521096.954
1692;06:44:57;846619.9246 6520094.209;844682.3803 6519207.364
1694;06:44:57;847127.2364 6520109.686;847322.4723 6519323.694
1701;06:45:01;845649.8669 6521745.924;845204.6187 6519685.917
1718;06:45:07;846272.6244 6519748.881;845813.0073 6522314.395
1723;06:45:10;845308.9271 6520857.812;847429.802 6520233.586
1760;06:45:35;844698.6786 6522619.701;844922.8957 6519758.413
1762;06:45:36;846316.5819 6520556.914;845548.0859 6521808.071
1766;06:45:37;847062.7262 6522192.95;847314.965 6519576.55
1767;06:45:37;846399.9757 6520091.179;845048.5777 6522268.499
1771;06:45:38;843568.7602 6520844.056;844035.4799 6520003.002
1795;06:45:50;844799.1258 6519599.976;843955.5762 6519995.572
1797;06:45:50;847780.2154 6519796.191;845891.4921 6520708.834
1810;06:45:57;843911.1458 6519867.897;848253.8233 6520204.565
1812;06:45:58;843239.3966 6520073.97;844739.6396 6519550.808
1818;06:46:01;845726.7929 6520381.74;844435.0683 6520868.368
1821;06:46:02;845113.8596 6522925.425;843467.2071 6519902.976
1831;06:46:08;845885.4921 6520708.829;848280.4165 6518630.977
1832;06:46:08;846628.0386 6519624.524;845775.4562 6520787.566
1836;06:46:11;845784.4381 6520589.564;844857.9033 6519679.121
1838;06:46:13;843293.1979 6520457.884;843985.1215 6520790.497
1844;06:46:16;844816.0408 6521447.457;844030.6101 6519211.229
