idstation;nom;adresse1;adresse2;commune;numdansarrondissement;nbbornettes;stationbonus;pole;ouverte;achevement;validite;gid;code_insee;lon;lat
3015;Servient / Garibaldi;Face 112, Rue Servient;Place Charles de Gaulle;Lyon 3e Arrondissement;15;32;;Tram T1, Cité administrative - Centre commercial;True;Monté;Validé;250;69383;4,852678990647336;45,76077741317111
3084;Desaix;Face 126, Rue Paul Bert;;Lyon 3e Arrondissement;84;28;;MdL;True;Monté;Validé;303;69383;4,855200856422819;45,757261259942524
10053;Rossellini / 11 Novembre;29, Boulevard du 11 Novembre 1918;;Villeurbanne;53;30;;BRGM - ENSSIB - Campus de la Doua;True;Monté;Validé;289;69266;4,8630954295038;45,77938657533472
10034;Docteur Damidot;46, Rue Docteur Jean Damidot;;Villeurbanne;34;18;;MJC;True;Monté;Validé;290;69266;4,886133865523622;45,76182010690323
10119;Villeurbanne Saint-Jean;2, Rue des Acacias;;Villeurbanne;119;12;;Collège Jean Vilar;True;Monté;Validé;270;69266;4,9045008762779005;45,7804194257464
9049;Sergent Berthet / Gorge de Loup;3, Rue Gorge de Loup;;Lyon 9e Arrondissement;49;16;;Commerces - Coeur de quartier;True;Monté;Validé;258;69389;4,805158003014948;45,77013407203493
8059;Laënnec / Pinel;Face 167, Boulevard Pinel;Angle Rue Guillaume Paradin;Lyon 8e Arrondissement;59;15;;Jardin public - Logements;True;Monté;Validé;278;69388;4,889538926369418;45,73537251126738
3035;Philomène Magnin;3, Rue Philomène Magnin;;Lyon 3e Arrondissement;;24;;;True;Monté;Validé;260;69383;4,858740196109376;45,7526134281632
9002;Mairie du 9ème;Rue du Bourbonnais;Angle Rue Sergent Michel Berthet;Lyon 9e Arrondissement;2;27;;Mairie - Coeur quartier - Métro D;True;Monté;Validé;257;69389;4,805666011414779;45,77424082809611
4024;Lyon Métropole;Face 84, Quai Joseph Gillet ;;Lyon 4e Arrondissement;24;25;;Logements - Lyon Plage;True;Monté;Validé;262;69384;4,818560286672529;45,78817001884096
7049;Cité Scolaire Internationale;26, Avenue Tony Garnier;;Lyon 7e Arrondissement;49;25;;Ecole - Entreprises;True;Monté;Validé;281;69387;4,823560081405908;45,727918857658594
8039;Pierre Delore;Face 2, Rue Pierre Delore;;Lyon 8e Arrondissement;39;20;;Habitat - Cimetière;True;Monté;Validé;284;69388;4,8524001839789195;45,73863588359213
4001;Conservatoire Bis;3, Quai Joseph Gillet;;Lyon 1er Arrondissement;1;22;;Conservatoire - Logements - Maillage;True;Monté;Validé;253;69381;4,814245667423702;45,770389430239355
8042;Francis de Pressensé;73, Rue Paul Cazeneuve;Angle Avenue de Pressensé;Lyon 8e Arrondissement;38;22;;Quartier d'habitation - Tram T6;True;Monté;Validé;300;69388;4,860037966312989;45,73142726712921
8020;Moulin à Vent;2, Rue du Moulin à Vent;Angle Route de Vienne;Vénissieux;20;22;;Tram T6 - Commerces - Itinéraire cyclable - Coeur de quartier;True;Monté;Validé;309;69259;4,854181941236409;45,72967613408203
8040;Ambroise Paré;39, Boulevard Ambroise Paré;;Lyon 8e Arrondissement;40;24;;Services - Habitats;True;Monté;Validé;318;69388;4,883681688322731;45,73629951229903
8053;Lumière / Trouilhet;6, Rue Antoine Lumière;;Lyon 8e Arrondissement;53;16;;Poste - Commerces;True;Monté;Validé;325;69388;4,870101746345786;45,74356785165425
1006;Subsistances;14, Quai Saint Vincent;;Lyon 1er Arrondissement;6;22;;Les Subsistances;True;Monté;Validé;267;69381;4,819816657420369;45,767895769494274
10064;4 Août 1789;97, Rue du 4 Août 1789;Angle Rue Docteur Rollet;Villeurbanne;64;15;;Itinéraire cyclable - Associations sportives;True;Monté;Validé;323;69266;4,884270532810905;45,76479916907835
4009;Jacquart / Denfert-Rochereau;Face 27, Rue Denfert-Rochereau;angle Rue Jacquard;Lyon 4e Arrondissement;9;14;;Maillage;True;Monté;Validé;272;69384;4,82537896207112;45,775899511231145
8021;Paul Santy;101, Avenue Paul Santy;;Lyon 8e Arrondissement;21;16;;Itinéraire cyclable;True;Monté;Validé;287;69388;4,877305934394243;45,72851815103356
8041;Etats-Unis / Viviani;170, Boulevard des Etats-Unis;Angle Avenue Viviani;Lyon 8e Arrondissement;41;20;;Logements - Tram T4;True;Monté;En projet ou en cours de validation;297;69388;4,870721117970329;45,72509395409961
7016;Place Saint Louis;Rue de la Madeleine;Angle Rue de la Thibaudière;Lyon 7e Arrondissement;16;15;;Coeur quartier - Itinéraire cyclable;True;Monté;Validé;331;69387;4,847739942653555;45,74908035897641
2005;Confluence Hôtel de Région;101, Cours Charlemagne;;Lyon 2e Arrondissement;5;32;;Hôtel de Région - Tram Montrochet - Pôle de loisirs;True;Monté;Validé;215;69382;4,819179518436808;45,74053831522134
2038;Remparts d'Ainay;15, Rue des Remparts d'Ainay;;Lyon 2e Arrondissement;;24;;Commerces - Métro A - Centre ville;True;Monté;Validé;263;69382;4,829807144832727;45,75308920958161
10101;Einstein / 11 Novembre 1918;Face 128, Boulevard du 11 Novembre 1918;;Villeurbanne;101;34;;Campus de la Doua - Résidence étudiante - Maillage;True;Monté;Validé;305;69266;4,874090173328522;45,779444110761155
7062;Garibaldi / Domer;Face 327, Rue Garibaldi;Angle Rue Domer;Lyon 7e Arrondissement;62;19;;Lycée Professionnel - CROUS;True;Monté;Validé;345;69387;4,85162737005828;45,747732736897866
9041;Carret / Sédallian;30, Quai Paul Sédallian;Angle Rue Joannès Carret;Lyon 9e Arrondissement;41;18;;Activités - Logement - Maillage;True;Monté;Validé;347;69389;4,820578257531564;45,792477738603225
8054;Martinière / Monplaisir;Face 34, Rue Antoine Lumière;;Lyon 8e Arrondissement;54;20;;Lycée technique;True;Monté;Validé;353;69388;4,8683054018251575;45,740894695747706
9003;Place Valmy;1, Rue Roquette;Angle Rue de Bourgogne;Lyon 9e Arrondissement;3;16;;Métro D - Médiathèque;True;Monté;Validé;334;69389;4,805303665120908;45,77567499966055
8002;Place Ambroise Courtois;Place Ambroise Courtois;Face 107, Cours Albert Thomas;Lyon 8e Arrondissement;2;20;;Métro D - Institut Lumière - Place et avenue des Frères Lumière;True;Monté;Validé;321;69388;4,871678963257802;45,74529261647093
8009;Jean XXIII / Mermoz;Face 74, Boulevard Jean XXIII;Angle Avenue Jean Mermoz;Lyon 8e Arrondissement;9;20;;Tram T2 - Logements - Centre ville;True;Monté;Validé;349;69388;4,869805432007176;45,736479605706585
7021;Challemel Lacour / Gerland;Face 174, Rue de Gerland;Angle Rue Challemel Lacour;Lyon 7e Arrondissement;21;12;;Maillage - Logements;True;Monté;Validé;348;69387;4,838138438340419;45,729805865226226
3099;Place Sainte Anne;2, Place Saint Anne;;Lyon 3e Arrondissement;99;18;;Coeur de quartier - Commerces;True;Monté;Validé;252;69383;4,865331803082072;45,7570472667114
7010;Centre Berthelot;105, Rue Pasteur;Angle Avenue Berthelot;Lyon 7e Arrondissement;10;19;;Tram T2 - Cinéma - Centre ville;True;Monté;Validé;355;69387;4,83599969820417;45,74735617434048
